,投稿日,社名,業種,職種,従業員規模,立場,総合評価点,機能への満足,使いやすさ,サポート品質,価格
0,2024/06/08,非公開,その他製造,生産・製造,250名以上500名未満,ユーザー（利用者）,5,4,5,3,3
1,2024/06/02,イオンリテール株式会社,卸売・小売業・商業（商社含む）,一般事務,"5,000名以上",ユーザー（利用者）,5,5,4,4,4
2,2024/05/30,株式会社ホーク・ワン,不動産,財務・経理,250名以上500名未満,ユーザー（利用者）,5,4,4,3,3
3,2024/05/30,非公開,建設,一般事務,"1,000名以上5,000名未満",ユーザー（利用者）,5,5,5,5,5
4,2024/05/30,非公開,建設,一般事務,50名以上100名未満,ユーザー（利用者）,4,5,5,4,4
5,2024/05/28,非公開,食品、医薬、化粧品,総務・人事,500名以上750名未満,ユーザー（利用者）,5,4,4,4,4
6,2024/05/28,非公開,通信サービス,技術・設計,250名以上500名未満,ユーザー（利用者）,3,4,3,3,3
7,2024/05/28,非公開,その他製造,その他,250名以上500名未満,ユーザー（利用者）,4,4,4,3,3
8,2024/05/26,非公開,食品、医薬、化粧品,営業・販売,50名以上100名未満,ユーザー（利用者）,4,4,5,4,4
9,2024/05/24,株式会社オンワード樫山,その他,技術・設計,500名以上750名未満,ユーザー（利用者）,4,4,4,4,4
10,2024/05/22,非公開,放送・広告・出版・マスコミ,経営企画,100名以上250名未満,ユーザー（利用者）,5,5,4,4,5
11,2024/05/21,非公開,不動産,一般事務,10名以上50名未満,ユーザー（利用者）,4,4,4,5,4
12,2024/05/20,非公開,通信サービス,その他,"750名以上1,000名未満",ユーザー（利用者）,4,4,3,3,4
13,2024/05/18,非公開,その他製造,研究・開発,100名以上250名未満,ユーザー（利用者）,5,5,5,5,5
14,2024/05/15,非公開,飲食店・宿泊,その他,250名以上500名未満,ユーザー（利用者）,4,4,5,4,3
15,2024/05/15,非公開,人材サービス,その他,"1,000名以上5,000名未満",ユーザー（利用者）,5,5,5,5,4
16,2024/05/14,非公開,建設,財務・経理,100名以上250名未満,ユーザー（利用者）,4,5,4,4,4
17,2024/05/09,非公開,人材サービス,企画・調査・マーケティング,100名以上250名未満,ユーザー（利用者）,4,4,4,3,4
18,2024/05/09,非公開,運輸,情報処理・情報システム,250名以上500名未満,ユーザー（利用者）,5,5,5,3,3
19,2024/05/07,非公開,卸売・小売業・商業（商社含む）,営業・販売,500名以上750名未満,ユーザー（利用者）,3,4,2,3,3
20,2024/05/05,非公開,情報処理、ＳＩ、ソフトウェア,情報処理・情報システム,"1,000名以上5,000名未満",ユーザー（利用者）,5,3,4,4,4
21,2024/05/04,非公開,自動車、輸送機器,営業・販売,250名以上500名未満,ユーザー（利用者）,5,5,5,5,5
22,2024/05/02,非公開,自動車、輸送機器,営業・販売,"1,000名以上5,000名未満",ユーザー（利用者）,5,3,5,5,3
23,2024/04/29,非公開,その他,財務・経理,"750名以上1,000名未満",ユーザー（利用者）,3,4,3,3,3
24,2024/04/24,非公開,卸売・小売業・商業（商社含む）,営業・販売,"750名以上1,000名未満",ユーザー（利用者）,5,5,5,5,5
